shift_LSB,match_ratio,mean_spike_rate
-4.000000,1.000000,0.037007
-2.000000,1.000000,0.037007
-1.000000,1.000000,0.037007
0.000000,1.000000,0.037007
1.000000,1.000000,0.037007
2.000000,1.000000,0.037007
4.000000,1.000000,0.037007
